event_id,season,season_id,week,contestant_key,celeb_id,pro_id,industry_id,age_z,week_z,eliminated_flag,L_logit,U_logit,mu_mean,mu_sd,y_latent_mean,y_latent_sd,share_latent_mean
2-1,2,1,1,S2:Master P,257,8,5,-0.0998321816927232,-1.2900651749527905,0,-6.95310099738458,-4.90723388440642,-6.10754048738236,0.4425170544574501,-6.010762403321192,0.200798194125608,0.0024462192259386544
2-1,2,1,1,S2:Stacy Keibler,258,52,1,-0.797928342102457,-1.2900651749527905,0,-2.871175297509863,-1.0683561683196734,-1.1616268307605262,0.3266605125320078,-1.6756655988574116,0.10562573653320383,0.157670268455212
2-1,2,1,1,S2:Tatum O'Neal,259,46,0,0.4431314986259584,-1.2900651749527905,0,-2.599294858140537,-0.8525478310824605,-3.562484250352181,0.4558773070188202,-2.2406214918591667,0.07776197346991766,0.09616151151301607
2-1,2,1,1,S2:Tia Carrere,260,44,0,0.2104327784893805,-1.2900651749527905,0,-4.046386288554003,-2.200674990009001,-3.1012156025279944,0.37931459709014864,-3.1142441700734045,0.15161553135625128,0.042523505834824615
2-2,2,1,2,S2:Drew Lachey,251,14,5,-0.565229621965879,-0.9260994187390597,0,-2.1989840894036545,-0.14437814217820408,-1.1181399806514591,0.3358012745269518,-1.1464279907754267,0.1585827815884717,0.24114212978767424
2-2,2,1,2,S2:George Hamilton,252,21,0,2.3047212597185815,-0.9260994187390597,0,-4.684251463955899,-2.6500741548134803,-3.878526024042858,0.355193289298099,-3.764555289911704,0.1616880985308044,0.022652871024013675
2-2,2,1,2,S2:Giselle Fernandez,253,34,4,0.5982639787170104,-0.9260994187390597,0,-4.135540533998309,-1.9477360331669813,-3.0667832451905017,0.47730940427567375,-3.0537915613514954,0.2365826797037743,0.04505406293067768
2-2,2,1,2,S2:Jerry Rice,254,6,1,0.5206977386714844,-0.9260994187390597,0,-3.7182575619762432,-1.7386232434753237,-3.038873325684002,0.31448990457041953,-2.8658178781611854,0.13627093669999388,0.05386940701437486
2-2,2,1,2,S2:Lisa Rinna,256,43,0,0.4431314986259584,-0.9260994187390597,0,-5.713790438518356,-3.4799426038357386,-2.8496419761631677,0.3263507006959889,-3.90118261034337,0.07433781874397458,0.019817320957749775
2-2,2,1,2,S2:Master P,257,8,5,-0.0998321816927232,-0.9260994187390597,0,-6.828013984249985,-4.6041005338716685,-6.034811670886473,0.44284897418830016,-5.87721467171512,0.22037919924508764,0.00279474801428801
2-2,2,1,2,S2:Stacy Keibler,258,52,1,-0.797928342102457,-0.9260994187390597,0,-0.8157896090651067,1.1437123015011832,-1.0888980142646352,0.3265469340001544,-0.3091074623313789,0.09097670987906055,0.4233326121251219
2-2,2,1,2,S2:Tatum O'Neal,259,46,0,0.4431314986259584,-0.9260994187390597,1,-7.1185774535341455,-4.6203081525130765,-3.4897554338562915,0.45603434789703673,-4.955231535820957,0.07542619145538104,0.006997143573050386
2-2,2,1,2,S2:Tia Carrere,260,44,0,0.2104327784893805,-0.9260994187390597,0,-4.823775796265257,-2.734368569969662,-3.028486786032102,0.3791315599561336,-3.44164292146903,0.15418996943095548,0.03101906499565484
2-3,2,1,3,S2:Drew Lachey,251,14,5,-0.565229621965879,-0.5621336625253286,0,-1.7796254704467278,0.08932770889613365,-1.0454111641555677,0.3353503632155212,-0.9268395099608625,0.13607145583349742,0.28356634908637063
2-3,2,1,3,S2:George Hamilton,252,21,0,2.3047212597185815,-0.5621336625253286,0,-4.314537370769561,-2.5063631204919257,-3.8057972075469677,0.355223445966397,-3.5614877498290727,0.1314990830160044,0.027612448152380068
2-3,2,1,3,S2:Giselle Fernandez,253,34,4,0.5982639787170104,-0.5621336625253286,1,-4.660132897269945,-2.6223193132541405,-2.9940544286946125,0.47748501031403995,-3.362502353728136,0.19172793525882056,0.03348813578033195
2-3,2,1,3,S2:Jerry Rice,254,6,1,0.5206977386714844,-0.5621336625253286,0,-5.136591660015087,-3.240831437937368,-2.966144509188112,0.31359191116495155,-3.7441825760203273,0.0877281214638877,0.02310833070078687
2-3,2,1,3,S2:Lisa Rinna,256,43,0,0.4431314986259584,-0.5621336625253286,0,-3.0845591216676946,-1.220298807139721,-2.7769131596672745,0.326000630249965,-2.397743435512803,0.11861349344845486,0.08334493274869069
2-3,2,1,3,S2:Master P,257,8,5,-0.0998321816927232,-0.5621336625253286,0,-7.408834279593632,-5.2433643963624545,-5.962082854390581,0.44329222149587777,-6.149336458977469,0.21132944592647285,0.0021303498131622777
2-3,2,1,3,S2:Stacy Keibler,258,52,1,-0.797928342102457,-0.5621336625253286,0,-1.8186944692450835,0.050908048198018946,-1.0161691977687424,0.32658478073437064,-0.9380492904974471,0.13427350465036042,0.281294545170156
2-3,2,1,3,S2:Tia Carrere,260,44,0,0.2104327784893805,-0.5621336625253286,0,-2.5953254483454185,-0.7948118568152341,-2.955757969536212,0.3790789168353601,-2.11451668538216,0.09454108717433163,0.10769386214009695
2-4,2,1,4,S2:Drew Lachey,251,14,5,-0.565229621965879,-0.1981679063115975,0,-1.3091933442979693,0.5254519068872217,-0.9726823476596754,0.3350464825793985,-0.6152949993821641,0.12091019812314119,0.35085228522739026
2-4,2,1,4,S2:George Hamilton,252,21,0,2.3047212597185815,-0.1981679063115975,0,-4.909433162583895,-3.0083534596587316,-3.7330683910510722,0.35539278215978054,-3.8649647838268324,0.14613202506444692,0.020533209448329967
2-4,2,1,4,S2:Jerry Rice,254,6,1,0.5206977386714844,-0.1981679063115975,0,-3.0289959812404144,-1.180585298671767,-2.893415692692221,0.31284945687127325,-2.404106224182282,0.10384244439186217,0.08286011182765424
2-4,2,1,4,S2:Lisa Rinna,256,43,0,0.4431314986259584,-0.1981679063115975,0,-2.7822272406755597,-0.8597390940693337,-2.704184343171383,0.3258020123436539,-2.1700544261817205,0.11084584846971463,0.10247202767761135
2-4,2,1,4,S2:Master P,257,8,5,-0.0998321816927232,-0.1981679063115975,1,-10.272758600441495,-7.522142262357038,-5.889354037894686,0.44384646284842555,-7.790096453490273,0.04978754103207666,0.0004136417980084073
2-4,2,1,4,S2:Stacy Keibler,258,52,1,-0.797928342102457,-0.1981679063115975,0,-2.5455570731617705,-0.6316870937743407,-0.9434403812728509,0.3267740001207581,-1.326115079191956,0.12290614174393164,0.20980270275936583
2-4,2,1,4,S2:Tia Carrere,260,44,0,0.2104327784893805,-0.1981679063115975,0,-3.275833196192172,-1.381287487857195,-2.8830291530403205,0.3791567220405786,-2.550716770040226,0.1425001288212659,0.07237834686774719
2-5,2,1,5,S2:Drew Lachey,251,14,5,-0.565229621965879,0.1657978499021333,0,-2.617528409699041,-0.517181113364812,-0.899953531163783,0.3348900328675977,-1.2587348747147618,0.14090585157945337,0.2211917533693609
2-5,2,1,5,S2:George Hamilton,252,21,0,2.3047212597185815,0.1657978499021333,0,-4.113199213175514,-2.088665390931034,-3.6603395745551826,0.3557010991035666,-3.3493349784085176,0.1479983968011864,0.03391694789524982
2-5,2,1,5,S2:Jerry Rice,254,6,1,0.5206977386714844,0.1657978499021333,0,-4.056167640539452,-2.0103794500733705,-2.8206868761963273,0.31226365114499494,-2.933330687660666,0.1459585593845499,0.05053028916664464
2-5,2,1,5,S2:Lisa Rinna,256,43,0,0.4431314986259584,0.1657978499021333,0,-3.7912607927972606,-1.7127293217427189,-2.631455526675494,0.3257551240059983,-2.6943209961193175,0.15510190271539848,0.06330929393848778
2-5,2,1,5,S2:Stacy Keibler,258,52,1,-0.797928342102457,0.1657978499021333,0,-0.515252829615719,1.4394554778244415,-0.8707115647769593,0.32711432947474844,-0.030811188047849936,0.08636527476949331,0.4922978123044404
2-5,2,1,5,S2:Tia Carrere,260,44,0,0.2104327784893805,0.1657978499021333,1,-5.145084895489709,-2.98396631552799,-2.8103003365444272,0.37936489530955786,-3.5289475230409098,0.1218698757305516,0.02849971366858436
2-6,2,1,6,S2:Drew Lachey,251,14,5,-0.565229621965879,0.5297636061158644,0,-1.3693773251035724,0.6662810066778851,-0.8272247146678909,0.3348812207103932,-0.5672301326899813,0.14497969273541933,0.3618762026172536
2-6,2,1,6,S2:George Hamilton,252,21,0,2.3047212597185815,0.5297636061158644,1,-4.959752511068267,-2.941768278628911,-3.5876107580592893,0.3561480358515116,-3.7873019444281333,0.1555814712211063,0.022154697173676543
2-6,2,1,6,S2:Jerry Rice,254,6,1,0.5206977386714844,0.5297636061158644,0,-4.454230272789101,-2.4810401456318574,-2.7479580597004363,0.31183537681498563,-3.1637694253125144,0.11961122295025768,0.040552139779575176
2-6,2,1,6,S2:Lisa Rinna,256,43,0,0.4431314986259584,0.5297636061158644,0,-3.3012530767259003,-1.2573089401408999,-2.5587267101796,0.3258600307345788,-2.4093771184183463,0.14877113822196342,0.08246043353570823
2-6,2,1,6,S2:Stacy Keibler,258,52,1,-0.797928342102457,0.5297636061158644,0,-1.4470626921762884,0.632175866316197,-0.797982748281067,0.32760529785962816,-0.5916444450338961,0.15023813513654707,0.35625763127265625
2-7,2,1,7,S2:Drew Lachey,251,14,5,-0.565229621965879,0.8937293623295953,0,-1.5255098281954602,0.47581823333972306,-0.7544958981719985,0.3350200577578811,-0.6284823527181977,0.1498728073354076,0.34785473931154876
2-7,2,1,7,S2:Jerry Rice,254,6,1,0.5206977386714844,0.8937293623295953,0,-4.52506012687769,-2.6065926684682412,-2.675229243204541,0.3115652835048761,-3.214619135913498,0.10618747685134311,0.03861927003566963
2-7,2,1,7,S2:Lisa Rinna,256,43,0,0.4431314986259584,0.8937293623295953,1,-2.4248706818990517,-0.41140469167858,-2.485997893683708,0.32611658603896,-1.8532112722613763,0.10683742561156426,0.13549629755295264
2-7,2,1,7,S2:Stacy Keibler,258,52,1,-0.797928342102457,0.8937293623295953,0,-1.5998303817377582,0.41557691538678715,-0.7252539317851743,0.32824622932924263,-0.6531034971969238,0.15092827812637333,0.34229051250882186
2-8,2,1,8,S2:Drew Lachey,251,14,5,-0.565229621965879,1.2576951185433265,0,-1.4013390925046703,0.6452796863243248,-0.6817670816761061,0.33530636060309565,-0.5189553201821536,0.15287196325906766,0.37309654719770624
2-8,2,1,8,S2:Jerry Rice,254,6,1,0.5206977386714844,1.2576951185433265,0,-2.2854727766207024,-0.2998266571040484,-2.60250042670865,0.31145378273957736,-1.7909872424874729,0.08387954515119209,0.14295172731478584
2-8,2,1,8,S2:Stacy Keibler,258,52,1,-0.797928342102457,1.2576951185433265,0,-1.6856740179620973,0.41679103718932314,-0.6525251152892821,0.3290362475430698,-0.6432645964567217,0.16178400430113116,0.3445089461965637
3-1,3,2,1,S3:Emmitt Smith,332,14,1,0.0553002983983286,-1.2900651749527905,0,-2.1510031508042835,-0.34117656450004424,-2.1545508100208832,0.2671763436996943,-1.5760645481310214,0.08234184978747743,0.17135356028271784
3-1,3,2,1,S3:Harry Hamlin,333,8,0,1.37392637917227,-1.2900651749527905,0,-6.794255245725265,-4.243050330474556,-4.4749837027107375,0.4982808620542859,-4.95899878848209,0.22004195678807065,0.006971016565773952
3-1,3,2,1,S3:Jerry Springer,334,40,7,1.9944562995364776,-1.2900651749527905,0,-6.649823921011885,-4.49884146627215,-4.602223993716856,0.32410156694976094,-5.132799260633871,0.1208099689112008,0.005865415559200919
3-1,3,2,1,S3:Joey Lawrence,335,21,0,-0.4876633819203531,-1.2900651749527905,0,-4.1830484843551785,-2.2900144605079054,-2.155402638505711,0.2842960806259753,-2.831288431800258,0.08445297635314224,0.05565664048674128
3-1,3,2,1,S3:Mario Lopez,336,36,0,-0.3325309018293012,-1.2900651749527905,0,-0.6015456759945882,1.2365819018357893,-1.5089895079369202,0.2633873139979062,-0.2401448573532525,0.04714225646389654,0.44025065322408685
3-1,3,2,1,S3:Monique Coleman,337,43,0,-0.8754945821479829,-1.2900651749527905,0,-5.443327342038751,-3.3260256192414372,-2.601604106510735,0.30564556593064607,-3.725651287003506,0.06586363445534081,0.023530379988810992
3-1,3,2,1,S3:Sara Evans,338,52,5,-0.0998321816927232,-1.2900651749527905,0,-7.448828230232453,-5.093408617392146,-4.0562300760852645,0.37169128268495033,-5.438902452672905,0.06338661772519262,0.004325457809301912
3-1,3,2,1,S3:Shanna Moakler,339,33,3,-0.4100971418748271,-1.2900651749527905,0,-6.254330957437207,-3.8471230231060005,-4.271205319302626,0.5894161313224472,-4.652880495459669,0.27247112581717403,0.009444058813502923
3-1,3,2,1,S3:Tucker Carlson,340,22,7,0.0553002983983286,-1.2900651749527905,1,-9.40153995466566,-6.381006041199318,-5.742289328388637,0.6742779616843679,-6.833400188236454,0.1848729249067702,0.0010760301494265462
3-1,3,2,1,S3:Vivica A. Fox,341,46,0,0.4431314986259584,-1.2900651749527905,0,-4.192270830190803,-1.982892374787375,-2.8429718884681354,0.42228844362419216,-2.9632308932913816,0.2113805460911268,0.049114894894398936
3-1,3,2,1,S3:Willa Ford,342,44,5,-0.8754945821479829,-1.2900651749527905,0,-4.037715113565129,-1.9330843574174505,-2.7796693997383364,0.39292767587905364,-2.88742546843271,0.1865448623033338,0.05277867913014599
3-2,3,2,2,S3:Emmitt Smith,332,14,1,0.0553002983983286,-0.9260994187390597,0,-3.54989246959918,-1.749980008722691,-2.081821993524992,0.2662595245772879,-2.434689629620773,0.0950390224338818,0.0805654006914094
3-2,3,2,2,S3:Harry Hamlin,333,8,0,1.37392637917227,-0.9260994187390597,0,-5.876884300492464,-3.591616577100921,-4.402254886214841,0.4988734001318209,-4.562674322586447,0.25266081708068844,0.010326370836253655
3-2,3,2,2,S3:Jerry Springer,334,40,7,1.9944562995364776,-0.9260994187390597,0,-6.286607957952146,-4.261608501111582,-4.529495177220963,0.3238076314728171,-4.949926341393183,0.1255365455900894,0.007034101613915734
3-2,3,2,2,S3:Joey Lawrence,335,21,0,-0.4876633819203531,-0.9260994187390597,0,-0.2451449049143609,1.4819537091815393,-2.082673822009814,0.28381848247956376,-0.0019232725690126742,0.027420077021511537,0.499519182005958
3-2,3,2,2,S3:Mario Lopez,336,36,0,-0.3325309018293012,-0.9260994187390597,0,-5.312600877309256,-3.340878150644988,-1.4362606914410267,0.26306223962419795,-3.577969196858592,0.024742487090029127,0.027173349881928436
3-2,3,2,2,S3:Monique Coleman,337,43,0,-0.8754945821479829,-0.9260994187390597,0,-2.896084540769148,-0.9888690434398091,-2.5288752900148412,0.30521988901263236,-2.182433230991445,0.11556547174093376,0.10133911970966544
3-2,3,2,2,S3:Sara Evans,338,52,5,-0.0998321816927232,-0.9260994187390597,0,-5.474211136599691,-3.510160780396066,-3.9835012595893744,0.37129506470672885,-4.275638445956701,0.14908948655135146,0.013712521946074101
3-2,3,2,2,S3:Shanna Moakler,339,33,3,-0.4100971418748271,-0.9260994187390597,1,-5.37102068930873,-3.162097712402832,-4.198476502806734,0.5895354349642233,-4.2337639918228325,0.28530008428556214,0.01429053822726265
3-2,3,2,2,S3:Vivica A. Fox,341,46,0,0.4431314986259584,-0.9260994187390597,0,-4.362009470205529,-2.2267488260071495,-2.770243071972243,0.4214961054991929,-3.0463527466120266,0.18914425221976983,0.04537519726246892
3-2,3,2,2,S3:Willa Ford,342,44,5,-0.8754945821479829,-0.9260994187390597,0,-4.753998649037587,-2.665541817298436,-2.706940583242443,0.3933118241907258,-3.279876097587601,0.13772584716625932,0.03626804684665436
3-3,3,2,3,S3:Emmitt Smith,332,14,1,0.0553002983983286,-0.5621336625253286,0,-5.654771825756914,-3.7977040730927323,-2.0090931770291016,0.26552585461438205,-4.045338518998142,0.02687162854531629,0.017202666628581255
3-3,3,2,3,S3:Harry Hamlin,333,8,0,1.37392637917227,-0.5621336625253286,1,-4.65807138676024,-2.6948364613874043,-4.329526069718946,0.49956424058752863,-3.9413084830526164,0.1881222626253255,0.019052726736812693
3-3,3,2,3,S3:Jerry Springer,334,40,7,1.9944562995364776,-0.5621336625253286,0,-4.621899457568058,-2.9031648791014892,-4.456766360725069,0.323666260129118,-4.001594258152862,0.10173763949294992,0.01795807267689006
3-3,3,2,3,S3:Joey Lawrence,335,21,0,-0.4876633819203531,-0.5621336625253286,0,-4.311517790130477,-2.5469292046681224,-2.009945005513926,0.2835145671388023,-2.98032857625354,0.0632149480991285,0.04832251609296325
3-3,3,2,3,S3:Mario Lopez,336,36,0,-0.3325309018293012,-0.5621336625253286,0,-4.1152398539810155,-2.3557565448740987,-1.3635318749451353,0.2629249244601104,-2.702149370529195,0.043713454698044864,0.06284664569069541
3-3,3,2,3,S3:Monique Coleman,337,43,0,-0.8754945821479829,-0.5621336625253286,0,-1.4366620371926129,0.2538241013920337,-2.456146473518951,0.304955830522866,-1.0941909486248744,0.0484152418900185,0.2508299172427392
3-3,3,2,3,S3:Sara Evans,338,52,5,-0.0998321816927232,-0.5621336625253286,0,-2.6511270731085324,-0.994701180874025,-3.9107724430934856,0.3710317368802198,-2.34176585507811,0.05238171623121612,0.08772249536752454
3-3,3,2,3,S3:Vivica A. Fox,341,46,0,0.4431314986259584,-0.5621336625253286,0,-1.8586589219891816,0.014933028780012533,-2.697514255476349,0.4208198112359012,-1.4778439702784827,0.08017677818228539,0.18575329573568375
3-3,3,2,3,S3:Willa Ford,342,44,5,-0.8754945821479829,-0.5621336625253286,0,-4.652881665835109,-2.7364991215586896,-2.634211766746554,0.3938211940334684,-3.2952318287148468,0.11999102972958596,0.03573512831193533
3-4,3,2,4,S3:Emmitt Smith,332,14,1,0.0553002983983286,-0.1981679063115975,0,-4.004848849627197,-2.2712446323464284,-1.9363643605332082,0.26497685512976615,-2.7498590754631684,0.0669224873914492,0.0600946095560516
3-4,3,2,4,S3:Jerry Springer,334,40,7,1.9944562995364776,-0.1981679063115975,0,-5.153177380977691,-3.2924687216680115,-4.384037544229178,0.3236776528231324,-4.288544523017235,0.13062257992798895,0.013539064888078186
3-4,3,2,4,S3:Joey Lawrence,335,21,0,-0.4876633819203531,-0.1981679063115975,0,-2.6494789393875005,-0.8447678398830489,-1.9372161890180328,0.2833848934011673,-1.821464144626413,0.1101721208126272,0.139258279950627
3-4,3,2,4,S3:Mario Lopez,336,36,0,-0.3325309018293012,-0.1981679063115975,0,-0.9385327584676896,0.8824430794255037,-1.290803058449243,0.26297566262640953,-0.46055819746459686,0.06787661531258417,0.3868534122629315
3-4,3,2,4,S3:Monique Coleman,337,43,0,-0.8754945821479829,-0.1981679063115975,0,-4.5238776272522685,-2.57238830247244,-2.3834176570230587,0.30485381043393067,-3.101252612532963,0.0910985610496093,0.04305561546279238
3-4,3,2,4,S3:Sara Evans,338,52,5,-0.0998321816927232,-0.1981679063115975,0,-6.461810390190079,-4.384099103319477,-3.8380436265975924,0.3709015822483372,-4.825964326810308,0.08856730737466181,0.007955027467638449
3-4,3,2,4,S3:Vivica A. Fox,341,46,0,0.4431314986259584,-0.1981679063115975,1,-4.837436066470495,-2.678630686782036,-2.624785438980457,0.42026012105770993,-3.265315794486894,0.14462133191961163,0.036780418922064066
3-4,3,2,4,S3:Willa Ford,342,44,5,-0.8754945821479829,-0.1981679063115975,0,-2.436445669523005,-0.48176081937351145,-2.5614829502506606,0.3944553003026399,-1.882830615606657,0.12248680990109674,0.13206408138772205
3-5,3,2,5,S3:Emmitt Smith,332,14,1,0.0553002983983286,0.1657978499021333,0,-1.9709916260611027,-0.28163197167401677,-1.8636355440373158,0.264613675544959,-1.374040838847001,0.08020465469326554,0.2019677725857271
3-5,3,2,5,S3:Jerry Springer,334,40,7,1.9944562995364776,0.1657978499021333,0,-3.7707741871170777,-2.136622947481606,-4.311308727733287,0.3238417934322305,-3.3414534793465545,0.06920760605372227,0.03417614854660794
3-5,3,2,5,S3:Joey Lawrence,335,21,0,-0.4876633819203531,0.1657978499021333,0,-3.4525286058911178,-1.8069928032117106,-1.8644873725221398,0.28342970042193527,-2.384472932708876,0.08163305465050254,0.08436440189644231
3-5,3,2,5,S3:Mario Lopez,336,36,0,-0.3325309018293012,0.1657978499021333,0,-2.093585183789952,-0.4085372391387055,-1.2180742419533515,0.2632143453735608,-1.2393770159302755,0.09291960919632382,0.22454444374105315
3-5,3,2,5,S3:Monique Coleman,337,43,0,-0.8754945821479829,0.1657978499021333,0,-2.4861112501933302,-0.7535063514423314,-2.3106888405271695,0.30491399139342773,-1.8612060444286898,0.09682779127422654,0.13456253957874204
