event_id,season,week,is_judges_save,terminal,n_active,elim_count,use_two_stage,fallback_one_stage,reason
7-7,7,7,False,False,6,1,False,True,not_judges_save
7-8,7,8,False,False,5,1,False,True,not_judges_save
7-9,7,9,False,False,4,1,False,True,not_judges_save
7-10,7,10,False,True,3,0,False,True,not_judges_save
8-1,8,1,False,False,13,0,False,True,not_judges_save
8-2,8,2,False,False,13,1,False,True,not_judges_save
8-3,8,3,False,False,12,1,False,True,not_judges_save
8-4,8,4,False,False,11,2,False,True,not_judges_save
8-5,8,5,False,False,9,1,False,True,not_judges_save
8-6,8,6,False,False,8,1,False,True,not_judges_save
8-7,8,7,False,False,7,1,False,True,not_judges_save
8-8,8,8,False,False,6,1,False,True,not_judges_save
8-9,8,9,False,False,5,1,False,True,not_judges_save
8-10,8,10,False,False,4,1,False,True,not_judges_save
8-11,8,11,False,True,3,0,False,True,not_judges_save
9-1,9,1,False,False,16,2,False,True,not_judges_save
9-2,9,2,False,False,14,1,False,True,not_judges_save
9-3,9,3,False,False,13,2,False,True,not_judges_save
9-4,9,4,False,False,11,1,False,True,not_judges_save
9-5,9,5,False,False,10,1,False,True,not_judges_save
9-6,9,6,False,False,9,2,False,True,not_judges_save
9-7,9,7,False,False,7,2,False,True,not_judges_save
9-8,9,8,False,False,5,1,False,True,not_judges_save
9-9,9,9,False,False,4,1,False,True,not_judges_save
9-10,9,10,False,True,3,0,False,True,not_judges_save
10-1,10,1,False,False,11,0,False,True,not_judges_save
10-2,10,2,False,False,11,1,False,True,not_judges_save
10-3,10,3,False,False,10,1,False,True,not_judges_save
10-4,10,4,False,False,9,1,False,True,not_judges_save
10-5,10,5,False,False,8,1,False,True,not_judges_save
10-6,10,6,False,False,7,1,False,True,not_judges_save
10-7,10,7,False,False,6,1,False,True,not_judges_save
10-8,10,8,False,False,5,1,False,True,not_judges_save
10-9,10,9,False,False,4,1,False,True,not_judges_save
10-10,10,10,False,True,3,0,False,True,not_judges_save
11-1,11,1,False,False,12,1,False,True,not_judges_save
11-2,11,2,False,False,11,1,False,True,not_judges_save
11-3,11,3,False,False,10,1,False,True,not_judges_save
11-4,11,4,False,False,9,1,False,True,not_judges_save
11-5,11,5,False,False,8,1,False,True,not_judges_save
11-6,11,6,False,False,7,1,False,True,not_judges_save
11-7,11,7,False,False,6,1,False,True,not_judges_save
11-8,11,8,False,False,5,1,False,True,not_judges_save
11-9,11,9,False,False,4,1,False,True,not_judges_save
11-10,11,10,False,True,3,0,False,True,not_judges_save
12-1,12,1,False,False,11,0,False,True,not_judges_save
12-2,12,2,False,False,11,1,False,True,not_judges_save
12-3,12,3,False,False,10,1,False,True,not_judges_save
12-4,12,4,False,False,9,1,False,True,not_judges_save
12-5,12,5,False,False,8,1,False,True,not_judges_save
12-6,12,6,False,False,7,1,False,True,not_judges_save
12-7,12,7,False,False,6,1,False,True,not_judges_save
12-8,12,8,False,False,5,1,False,True,not_judges_save
12-9,12,9,False,False,4,1,False,True,not_judges_save
12-10,12,10,False,True,3,0,False,True,not_judges_save
13-1,13,1,False,False,12,1,False,True,not_judges_save
13-2,13,2,False,False,11,1,False,True,not_judges_save
13-3,13,3,False,False,10,1,False,True,not_judges_save
13-4,13,4,False,False,9,1,False,True,not_judges_save
13-5,13,5,False,False,8,1,False,True,not_judges_save
13-6,13,6,False,False,7,1,False,True,not_judges_save
13-7,13,7,False,False,6,1,False,True,not_judges_save
13-8,13,8,False,False,5,1,False,True,not_judges_save
13-9,13,9,False,False,4,1,False,True,not_judges_save
13-10,13,10,False,True,3,0,False,True,not_judges_save
14-1,14,1,False,False,12,0,False,True,not_judges_save
14-2,14,2,False,False,12,1,False,True,not_judges_save
14-3,14,3,False,False,11,1,False,True,not_judges_save
14-4,14,4,False,False,10,1,False,True,not_judges_save
14-5,14,5,False,False,9,1,False,True,not_judges_save
14-6,14,6,False,False,8,1,False,True,not_judges_save
14-7,14,7,False,False,7,1,False,True,not_judges_save
14-8,14,8,False,False,6,2,False,True,not_judges_save
14-9,14,9,False,False,4,1,False,True,not_judges_save
14-10,14,10,False,True,3,0,False,True,not_judges_save
15-1,15,1,False,False,13,1,False,True,not_judges_save
15-2,15,2,False,False,12,1,False,True,not_judges_save
15-3,15,3,False,False,11,2,False,True,not_judges_save
15-4,15,4,False,False,9,1,False,True,not_judges_save
15-5,15,5,False,False,8,0,False,True,not_judges_save
15-6,15,6,False,False,8,1,False,True,not_judges_save
15-7,15,7,False,False,7,0,False,True,not_judges_save
15-8,15,8,False,False,7,2,False,True,not_judges_save
15-9,15,9,False,False,5,2,False,True,not_judges_save
15-10,15,10,False,True,3,0,False,True,not_judges_save
16-1,16,1,False,False,12,0,False,True,not_judges_save
16-2,16,2,False,False,12,1,False,True,not_judges_save
16-3,16,3,False,False,11,1,False,True,not_judges_save
16-4,16,4,False,False,10,1,False,True,not_judges_save
16-5,16,5,False,False,9,1,False,True,not_judges_save
16-6,16,6,False,False,8,1,False,True,not_judges_save
16-7,16,7,False,False,7,1,False,True,not_judges_save
16-8,16,8,False,False,6,1,False,True,not_judges_save
16-9,16,9,False,False,5,1,False,True,not_judges_save
16-10,16,10,False,True,4,0,False,True,not_judges_save
17-1,17,1,False,False,12,0,False,True,not_judges_save
17-2,17,2,False,False,12,1,False,True,not_judges_save
17-3,17,3,False,False,11,1,False,True,not_judges_save
17-4,17,4,False,False,10,1,False,True,not_judges_save
17-5,17,5,False,False,9,1,False,True,not_judges_save
17-6,17,6,False,False,8,0,False,True,not_judges_save
17-7,17,7,False,False,8,1,False,True,not_judges_save
17-8,17,8,False,False,7,1,False,True,not_judges_save
17-9,17,9,False,False,6,1,False,True,not_judges_save
17-10,17,10,False,False,5,1,False,True,not_judges_save
17-11,17,11,False,True,4,0,False,True,not_judges_save
18-1,18,1,False,False,12,1,False,True,not_judges_save
18-2,18,2,False,False,11,2,False,True,not_judges_save
18-3,18,3,False,False,9,0,False,True,not_judges_save
18-4,18,4,False,False,9,0,False,True,not_judges_save
18-5,18,5,False,False,9,1,False,True,not_judges_save
18-6,18,6,False,False,8,1,False,True,not_judges_save
18-7,18,7,False,False,7,1,False,True,not_judges_save
18-8,18,8,False,False,6,1,False,True,not_judges_save
18-9,18,9,False,False,5,1,False,True,not_judges_save
18-10,18,10,False,True,4,0,False,True,not_judges_save
19-1,19,1,False,False,13,1,False,True,not_judges_save
19-2,19,2,False,False,12,1,False,True,not_judges_save
19-3,19,3,False,False,11,1,False,True,not_judges_save
19-4,19,4,False,False,10,1,False,True,not_judges_save
19-5,19,5,False,False,9,0,False,True,not_judges_save
19-6,19,6,False,False,9,1,False,True,not_judges_save
19-7,19,7,False,False,8,1,False,True,not_judges_save
19-8,19,8,False,False,7,1,False,True,not_judges_save
19-9,19,9,False,False,6,1,False,True,not_judges_save
19-10,19,10,False,False,5,1,False,True,not_judges_save
19-11,19,11,False,True,4,0,False,True,not_judges_save
20-1,20,1,False,False,12,0,False,True,not_judges_save
20-2,20,2,False,False,12,1,False,True,not_judges_save
20-3,20,3,False,False,11,1,False,True,not_judges_save
20-4,20,4,False,False,10,1,False,True,not_judges_save
20-5,20,5,False,False,9,1,False,True,not_judges_save
20-6,20,6,False,False,8,1,False,True,not_judges_save
20-7,20,7,False,False,7,1,False,True,not_judges_save
20-8,20,8,False,False,6,2,False,True,not_judges_save
20-9,20,9,False,False,4,1,False,True,not_judges_save
20-10,20,10,False,True,3,0,False,True,not_judges_save
21-1,21,1,False,False,13,0,False,True,not_judges_save
21-2,21,2,False,False,13,3,False,True,not_judges_save
21-3,21,3,False,False,10,0,False,True,not_judges_save
21-4,21,4,False,False,10,1,False,True,not_judges_save
21-5,21,5,False,False,9,0,False,True,not_judges_save
21-6,21,6,False,False,9,1,False,True,not_judges_save
21-7,21,7,False,False,8,1,False,True,not_judges_save
21-8,21,8,False,False,7,1,False,True,not_judges_save
21-9,21,9,False,False,6,2,False,True,not_judges_save
21-10,21,10,False,False,4,0,False,True,not_judges_save
21-11,21,11,False,True,4,0,False,True,not_judges_save
22-1,22,1,False,False,12,0,False,True,not_judges_save
22-2,22,2,False,False,12,1,False,True,not_judges_save
22-3,22,3,False,False,11,1,False,True,not_judges_save
22-4,22,4,False,False,10,1,False,True,not_judges_save
22-5,22,5,False,False,9,0,False,True,not_judges_save
22-6,22,6,False,False,9,1,False,True,not_judges_save
22-7,22,7,False,False,8,2,False,True,not_judges_save
22-8,22,8,False,False,6,1,False,True,not_judges_save
22-9,22,9,False,False,5,2,False,True,not_judges_save
22-10,22,10,False,True,3,0,False,True,not_judges_save
23-1,23,1,False,False,13,0,False,True,not_judges_save
23-2,23,2,False,False,13,1,False,True,not_judges_save
23-3,23,3,False,False,12,1,False,True,not_judges_save
23-4,23,4,False,False,11,2,False,True,not_judges_save
23-5,23,5,False,False,9,0,False,True,not_judges_save
23-6,23,6,False,False,9,1,False,True,not_judges_save
23-7,23,7,False,False,8,1,False,True,not_judges_save
23-8,23,8,False,False,7,1,False,True,not_judges_save
23-9,23,9,False,False,6,1,False,True,not_judges_save
23-10,23,10,False,False,5,1,False,True,not_judges_save
23-11,23,11,False,True,4,0,False,True,not_judges_save
24-1,24,1,False,False,12,0,False,True,not_judges_save
24-2,24,2,False,False,12,1,False,True,not_judges_save
24-3,24,3,False,False,11,1,False,True,not_judges_save
24-4,24,4,False,False,10,1,False,True,not_judges_save
24-5,24,5,False,False,9,1,False,True,not_judges_save
24-6,24,6,False,False,8,1,False,True,not_judges_save
24-7,24,7,False,False,7,2,False,True,not_judges_save
24-8,24,8,False,False,5,1,False,True,not_judges_save
24-9,24,9,False,False,4,1,False,True,not_judges_save
24-10,24,10,False,True,3,0,False,True,not_judges_save
25-1,25,1,False,False,13,0,False,True,not_judges_save
25-2,25,2,False,False,13,2,False,True,not_judges_save
25-3,25,3,False,False,11,0,False,True,not_judges_save
25-4,25,4,False,False,11,1,False,True,not_judges_save
25-5,25,5,False,False,10,1,False,True,not_judges_save
25-6,25,6,False,False,9,1,False,True,not_judges_save
25-7,25,7,False,False,8,2,False,True,not_judges_save
25-8,25,8,False,False,6,1,False,True,not_judges_save
25-9,25,9,False,False,5,1,False,True,not_judges_save
25-10,25,10,False,True,4,0,False,True,not_judges_save
26-1,26,1,False,False,10,2,False,True,not_judges_save
26-2,26,2,False,False,8,2,False,True,not_judges_save
26-3,26,3,False,False,6,3,False,True,not_judges_save
26-4,26,4,False,True,3,0,False,True,not_judges_save
27-1,27,1,False,False,13,1,False,True,not_judges_save
27-2,27,2,False,False,12,1,False,True,not_judges_save
27-3,27,3,False,False,11,1,False,True,not_judges_save
27-4,27,4,False,False,10,1,False,True,not_judges_save
27-5,27,5,False,False,9,0,False,True,not_judges_save
27-6,27,6,False,False,9,1,False,True,not_judges_save
27-7,27,7,False,False,8,2,False,True,not_judges_save
27-8,27,8,False,False,6,2,False,True,not_judges_save
27-9,27,9,False,True,4,0,False,True,not_judges_save
28-1,28,1,True,False,12,0,False,True,elim_count_ne_1(0)
28-2,28,2,True,False,12,2,False,True,elim_count_ne_1(2)
28-3,28,3,True,False,10,0,False,True,elim_count_ne_1(0)
28-4,28,4,True,False,10,1,True,False,ok
28-5,28,5,True,False,9,0,False,True,elim_count_ne_1(0)
28-6,28,6,True,False,9,1,True,False,ok
28-7,28,7,True,False,8,1,True,False,ok
28-8,28,8,True,False,7,1,True,False,ok
28-9,28,9,True,False,6,1,True,False,ok
28-10,28,10,True,False,5,1,True,False,ok
28-11,28,11,True,True,4,0,False,True,terminal_week
29-1,29,1,True,False,15,0,False,True,elim_count_ne_1(0)
29-2,29,2,True,False,15,1,True,False,ok
29-3,29,3,True,False,14,1,True,False,ok
29-4,29,4,True,False,13,1,True,False,ok
29-5,29,5,True,False,12,1,True,False,ok
29-6,29,6,True,False,11,1,True,False,ok
29-7,29,7,True,False,10,2,False,True,elim_count_ne_1(2)
29-8,29,8,True,False,8,1,True,False,ok
29-9,29,9,True,False,7,1,True,False,ok
29-10,29,10,True,False,6,2,False,True,elim_count_ne_1(2)
29-11,29,11,True,True,4,0,False,True,terminal_week
30-1,30,1,True,False,15,0,False,True,elim_count_ne_1(0)
30-2,30,2,True,False,15,1,True,False,ok
30-3,30,3,True,False,14,1,True,False,ok
30-4,30,4,True,False,13,2,False,True,elim_count_ne_1(2)
30-5,30,5,True,False,11,1,True,False,ok
30-6,30,6,True,False,10,1,True,False,ok
30-7,30,7,True,False,9,1,True,False,ok
30-8,30,8,True,False,8,2,False,True,elim_count_ne_1(2)
30-9,30,9,True,False,6,2,False,True,elim_count_ne_1(2)
30-10,30,10,True,True,4,0,False,True,terminal_week
31-1,31,1,True,False,16,1,True,False,ok
31-2,31,2,True,False,15,1,True,False,ok
31-3,31,3,True,False,14,1,True,False,ok
31-4,31,4,True,False,13,1,True,False,ok
31-5,31,5,True,False,12,2,False,True,elim_count_ne_1(2)
31-6,31,6,True,False,10,1,True,False,ok
31-7,31,7,True,False,9,1,True,False,ok
31-8,31,8,True,False,8,2,False,True,elim_count_ne_1(2)
31-9,31,9,True,False,6,2,False,True,elim_count_ne_1(2)
31-10,31,10,True,True,4,0,False,True,terminal_week
32-1,32,1,True,False,14,1,True,False,ok
32-2,32,2,True,False,13,1,True,False,ok
32-3,32,3,True,False,12,1,True,False,ok
32-4,32,4,True,False,11,1,True,False,ok
32-5,32,5,True,False,10,1,True,False,ok
32-6,32,6,True,False,9,1,True,False,ok
32-7,32,7,True,False,8,1,True,False,ok
32-8,32,8,True,False,7,1,True,False,ok
32-9,32,9,True,False,6,1,True,False,ok
32-10,32,10,True,False,5,0,False,True,elim_count_ne_1(0)
32-11,32,11,True,True,5,0,False,True,terminal_week
33-1,33,1,True,False,13,0,False,True,elim_count_ne_1(0)
33-2,33,2,True,False,13,2,False,True,elim_count_ne_1(2)
33-3,33,3,True,False,11,2,False,True,elim_count_ne_1(2)
33-4,33,4,True,False,9,1,True,False,ok
33-5,33,5,True,False,8,1,True,False,ok
33-6,33,6,True,False,7,1,True,False,ok
33-7,33,7,True,False,6,1,True,False,ok
33-8,33,8,True,False,5,0,False,True,elim_count_ne_1(0)
33-9,33,9,True,True,5,0,False,True,terminal_week
34-1,34,1,True,False,14,0,False,True,elim_count_ne_1(0)
34-2,34,2,True,False,14,2,False,True,elim_count_ne_1(2)
34-3,34,3,True,False,12,1,True,False,ok
34-4,34,4,True,False,11,1,True,False,ok
34-5,34,5,True,False,10,0,False,True,elim_count_ne_1(0)
34-6,34,6,True,False,10,1,True,False,ok
34-7,34,7,True,False,9,1,True,False,ok
34-8,34,8,True,False,8,1,True,False,ok
34-9,34,9,True,False,7,1,True,False,ok
34-10,34,10,True,False,6,1,True,False,ok
34-11,34,11,True,True,5,0,False,True,terminal_week
