celebrity_name,season,week,judge_score_total,judge_score_count,raw_zero_count,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_score_avg
Kenny Mayne,2,1,13.0,3,0,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,4.333333333333333
Lisa Rinna,2,1,19.0,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,6.333333333333333
Master P,2,1,12.0,3,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,4.0
Stacy Keibler,2,1,22.0,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,7.333333333333333
Tatum O'Neal,2,1,23.0,3,0,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,7.666666666666667
Tia Carrere,2,1,20.0,3,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,6.666666666666667
Drew Lachey,2,2,27.0,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,9.0
George Hamilton,2,2,22.0,3,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.333333333333333
Giselle Fernandez,2,2,24.0,3,0,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,8.0
Jerry Rice,2,2,23.0,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.666666666666667
Kenny Mayne,2,2,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,2,20.0,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,6.666666666666667
Master P,2,2,16.0,3,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,5.333333333333333
Stacy Keibler,2,2,29.0,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,9.666666666666666
Tatum O'Neal,2,2,17.0,3,0,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,5.666666666666667
Tia Carrere,2,2,22.0,3,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,7.333333333333333
Drew Lachey,2,3,27.0,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,9.0
George Hamilton,2,3,22.0,3,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.333333333333333
Giselle Fernandez,2,3,22.0,3,0,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,7.333333333333333
Jerry Rice,2,3,19.0,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,6.333333333333333
Kenny Mayne,2,3,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,3,25.0,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,8.333333333333334
Master P,2,3,14.0,3,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,4.666666666666667
Stacy Keibler,2,3,27.0,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,9.0
Tatum O'Neal,2,3,0.0,3,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,0.0
Tia Carrere,2,3,26.0,3,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,8.666666666666666
Drew Lachey,2,4,28.0,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,9.333333333333334
George Hamilton,2,4,21.0,3,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.0
Giselle Fernandez,2,4,0.0,3,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,0.0
Jerry Rice,2,4,24.0,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,8.0
Kenny Mayne,2,4,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,4,26.0,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,8.666666666666666
Master P,2,4,8.0,3,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,2.6666666666666665
Stacy Keibler,2,4,26.0,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,8.666666666666666
Tatum O'Neal,2,4,0.0,3,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,0.0
Tia Carrere,2,4,25.0,3,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,8.333333333333334
Drew Lachey,2,5,27.0,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,9.0
George Hamilton,2,5,24.0,3,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,8.0
Giselle Fernandez,2,5,0.0,3,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,0.0
Jerry Rice,2,5,23.0,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.666666666666667
Kenny Mayne,2,5,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,5,25.0,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,8.333333333333334
Master P,2,5,0.0,3,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,0.0
Stacy Keibler,2,5,30.0,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,10.0
Tatum O'Neal,2,5,0.0,3,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,0.0
Tia Carrere,2,5,22.0,3,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,7.333333333333333
Drew Lachey,2,6,30.0,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,10.0
George Hamilton,2,6,23.0,3,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.666666666666667
Giselle Fernandez,2,6,0.0,3,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,0.0
Jerry Rice,2,6,23.0,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.666666666666667
Kenny Mayne,2,6,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,6,27.0,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,9.0
Master P,2,6,0.0,3,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,0.0
Stacy Keibler,2,6,30.0,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,10.0
Tatum O'Neal,2,6,0.0,3,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,0.0
Tia Carrere,2,6,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,0.0
Drew Lachey,2,7,27.5,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,9.166666666666666
George Hamilton,2,7,0.0,3,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,0.0
Giselle Fernandez,2,7,0.0,3,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,0.0
Jerry Rice,2,7,20.5,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,6.833333333333333
Kenny Mayne,2,7,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,7,26.5,3,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,8.833333333333334
Master P,2,7,0.0,3,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,0.0
Stacy Keibler,2,7,27.5,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,9.166666666666666
Tatum O'Neal,2,7,0.0,3,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,0.0
Tia Carrere,2,7,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,0.0
Drew Lachey,2,8,28.9998,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,9.6666
George Hamilton,2,8,0.0,3,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,0.0
Giselle Fernandez,2,8,0.0,3,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,0.0
Jerry Rice,2,8,26.666600000000003,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,8.888866666666667
Kenny Mayne,2,8,0.0,3,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,0.0
Lisa Rinna,2,8,0.0,3,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,0.0
Master P,2,8,0.0,3,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,0.0
Stacy Keibler,2,8,28.6665,3,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,9.5555
Tatum O'Neal,2,8,0.0,3,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,0.0
Tia Carrere,2,8,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,0.0
Emmitt Smith,3,1,24.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,8.0
Harry Hamlin,3,1,17.0,3,0,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,5.666666666666667
Jerry Springer,3,1,16.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,5.333333333333333
Joey Lawrence,3,1,21.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,7.0
Mario Lopez,3,1,26.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,8.666666666666666
Monique Coleman,3,1,19.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,6.333333333333333
Sara Evans,3,1,15.0,3,0,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,5.0
Shanna Moakler,3,1,18.0,3,0,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,6.0
Tucker Carlson,3,1,12.0,3,0,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,4.0
Vivica A. Fox,3,1,22.0,3,0,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,7.333333333333333
Willa Ford,3,1,22.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,7.333333333333333
Emmitt Smith,3,2,24.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,8.0
Harry Hamlin,3,2,21.0,3,0,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,7.0
Jerry Springer,3,2,19.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,6.333333333333333
Joey Lawrence,3,2,29.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,9.666666666666666
Mario Lopez,3,2,21.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,7.0
Monique Coleman,3,2,26.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,8.666666666666666
Sara Evans,3,2,21.0,3,0,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,7.0
Shanna Moakler,3,2,22.0,3,0,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,7.333333333333333
Tucker Carlson,3,2,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,2,24.0,3,0,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,8.0
Willa Ford,3,2,23.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,7.666666666666667
Emmitt Smith,3,3,19.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,6.333333333333333
Harry Hamlin,3,3,22.0,3,0,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,7.333333333333333
Jerry Springer,3,3,21.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,7.0
Joey Lawrence,3,3,22.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,7.333333333333333
Mario Lopez,3,3,22.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,7.333333333333333
Monique Coleman,3,3,27.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,9.0
Sara Evans,3,3,25.0,3,0,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,8.333333333333334
Shanna Moakler,3,3,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,3,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,3,27.0,3,0,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,9.0
Willa Ford,3,3,22.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,7.333333333333333
Emmitt Smith,3,4,24.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,8.0
Harry Hamlin,3,4,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,4,22.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,7.333333333333333
Joey Lawrence,3,4,27.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,9.0
Mario Lopez,3,4,29.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,9.666666666666666
Monique Coleman,3,4,24.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,8.0
Sara Evans,3,4,20.0,3,0,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,6.666666666666667
Shanna Moakler,3,4,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,4,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,4,24.0,3,0,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,8.0
Willa Ford,3,4,28.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,9.333333333333334
Emmitt Smith,3,5,27.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,9.0
Harry Hamlin,3,5,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,5,24.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,8.0
Joey Lawrence,3,5,25.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,8.333333333333334
Mario Lopez,3,5,27.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,9.0
Monique Coleman,3,5,27.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,9.0
Sara Evans,3,5,24.0,3,0,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,8.0
Shanna Moakler,3,5,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,5,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,5,0.0,3,3,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,0.0
Willa Ford,3,5,27.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,9.0
Emmitt Smith,3,6,25.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,8.333333333333334
Harry Hamlin,3,6,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,6,18.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,6.0
Joey Lawrence,3,6,24.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,8.0
Mario Lopez,3,6,28.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,9.333333333333334
Monique Coleman,3,6,23.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,7.666666666666667
Sara Evans,3,6,0.0,3,3,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,0.0
Shanna Moakler,3,6,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,6,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,6,0.0,3,3,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,0.0
Willa Ford,3,6,0.0,3,3,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,0.0
Emmitt Smith,3,7,28.5,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,9.5
Harry Hamlin,3,7,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,7,23.0,3,0,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,7.666666666666667
Joey Lawrence,3,7,28.5,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,9.5
Mario Lopez,3,7,28.0,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,9.333333333333334
Monique Coleman,3,7,27.0,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,9.0
Sara Evans,3,7,0.0,3,3,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,0.0
Shanna Moakler,3,7,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,7,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,7,0.0,3,3,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,0.0
Willa Ford,3,7,0.0,3,3,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,0.0
Emmitt Smith,3,8,27.0,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,9.0
Harry Hamlin,3,8,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,8,0.0,3,3,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,0.0
Joey Lawrence,3,8,27.0,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,9.0
Mario Lopez,3,8,28.5,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,9.5
Monique Coleman,3,8,26.5,3,0,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,8.833333333333334
Sara Evans,3,8,0.0,3,3,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,0.0
Shanna Moakler,3,8,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,8,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,8,0.0,3,3,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,0.0
Willa Ford,3,8,0.0,3,3,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,0.0
Emmitt Smith,3,9,29.5,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,9.833333333333334
Harry Hamlin,3,9,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,9,0.0,3,3,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,0.0
Joey Lawrence,3,9,29.5,3,0,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,9.833333333333334
Mario Lopez,3,9,29.5,3,0,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,9.833333333333334
Monique Coleman,3,9,0.0,3,3,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,0.0
Sara Evans,3,9,0.0,3,3,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,0.0
Shanna Moakler,3,9,0.0,3,3,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,0.0
Tucker Carlson,3,9,0.0,3,3,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,0.0
Vivica A. Fox,3,9,0.0,3,3,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,0.0
Willa Ford,3,9,0.0,3,3,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,0.0
Emmitt Smith,3,10,29.666600000000003,3,0,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,9.888866666666667
Harry Hamlin,3,10,0.0,3,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,0.0
Jerry Springer,3,10,0.0,3,3,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,0.0
Joey Lawrence,3,10,0.0,3,3,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,0.0
