event_id,season,week,rule_mode,elim_count,use_two_stage,elim_slots,bottomk_slots_by_Smean,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_pred_slot,hard_stage2_hit_pred
15-9,15,9,percent,2,0,"[0, 1]","[1, 0]",1,1,,,,
15-10,15,10,percent,0,0,[],[],1,1,,,,
16-1,16,1,percent,0,0,[],[],1,1,,,,
16-2,16,2,percent,1,0,[3],[3],1,1,1.0,,,
16-3,16,3,percent,1,0,[9],[9],1,1,1.0,,,
16-4,16,4,percent,1,0,[6],[6],1,1,1.0,,,
16-5,16,5,percent,1,0,[2],[2],1,1,1.0,,,
16-6,16,6,percent,1,0,[6],[6],1,1,1.0,,,
16-7,16,7,percent,1,0,[1],[1],1,1,1.0,,,
16-8,16,8,percent,1,0,[4],[4],1,1,1.0,,,
16-9,16,9,percent,1,0,[1],[1],1,1,1.0,,,
16-10,16,10,percent,0,0,[],[],1,1,,,,
17-1,17,1,percent,0,0,[],[],1,1,,,,
17-2,17,2,percent,1,0,[8],[8],1,1,1.0,,,
17-3,17,3,percent,1,0,[2],[2],1,1,1.0,,,
17-4,17,4,percent,1,0,[9],[9],1,1,1.0,,,
17-5,17,5,percent,1,0,[3],[7],0,0,0.0,,,
17-6,17,6,percent,0,0,[],[],1,1,,,,
17-7,17,7,percent,1,0,[7],[7],1,1,1.0,,,
17-8,17,8,percent,1,0,[2],[2],1,1,1.0,,,
17-9,17,9,percent,1,0,[3],[1],0,0,0.0,,,
17-10,17,10,percent,1,0,[4],[4],1,1,1.0,,,
17-11,17,11,percent,0,0,[],[],1,1,,,,
18-1,18,1,percent,1,0,[6],[1],0,0,0.0,,,
18-2,18,2,percent,2,0,"[1, 10]","[1, 10]",1,1,,,,
18-3,18,3,percent,0,0,[],[],1,1,,,,
18-4,18,4,percent,0,0,[],[],1,1,,,,
18-5,18,5,percent,1,0,[3],[5],0,0,0.0,,,
18-6,18,6,percent,1,0,[4],[4],1,1,1.0,,,
18-7,18,7,percent,1,0,[6],[6],1,1,1.0,,,
18-8,18,8,percent,1,0,[3],[3],1,1,1.0,,,
18-9,18,9,percent,1,0,[2],[2],1,1,1.0,,,
18-10,18,10,percent,0,0,[],[],1,1,,,,
19-1,19,1,percent,1,0,[7],[3],0,0,0.0,,,
19-2,19,2,percent,1,0,[10],[7],0,0,0.0,,,
19-3,19,3,percent,1,0,[8],[8],1,1,1.0,,,
19-4,19,4,percent,1,0,[3],[7],0,0,0.0,,,
19-5,19,5,percent,0,0,[],[],1,1,,,,
19-6,19,6,percent,1,0,[4],[8],0,0,0.0,,,
19-7,19,7,percent,1,0,[1],[5],0,0,0.0,,,
19-8,19,8,percent,1,0,[4],[4],1,1,1.0,,,
19-9,19,9,percent,1,0,[3],[5],0,0,0.0,,,
19-10,19,10,percent,1,0,[4],[4],1,1,1.0,,,
19-11,19,11,percent,0,0,[],[],1,1,,,,
20-1,20,1,percent,0,0,[],[],1,1,,,,
20-2,20,2,percent,1,0,[6],[1],0,0,0.0,,,
20-3,20,3,percent,1,0,[0],[0],1,1,1.0,,,
20-4,20,4,percent,1,0,[1],[0],0,0,0.0,,,
20-5,20,5,percent,1,0,[7],[5],0,0,0.0,,,
20-6,20,6,percent,1,0,[3],[3],1,1,1.0,,,
20-7,20,7,percent,1,0,[6],[4],0,0,0.0,,,
20-8,20,8,percent,2,0,"[0, 4]","[4, 0]",1,1,,,,
20-9,20,9,percent,1,0,[0],[0],1,1,1.0,,,
20-10,20,10,percent,0,0,[],[],1,1,,,,
21-1,21,1,percent,0,0,[],[],1,1,,,,
21-2,21,2,percent,3,0,"[5, 8, 12]","[5, 6, 8]",0,0,,,,
21-3,21,3,percent,0,0,[],[],1,1,,,,
21-4,21,4,percent,1,0,[5],[5],1,1,1.0,,,
21-5,21,5,percent,0,0,[],[],1,1,,,,
21-6,21,6,percent,1,0,[7],[7],1,1,1.0,,,
21-7,21,7,percent,1,0,[5],[5],1,1,1.0,,,
21-8,21,8,percent,1,0,[2],[2],1,1,1.0,,,
21-9,21,9,percent,2,0,"[1, 5]","[5, 0]",0,0,,,,
21-10,21,10,percent,0,0,[],[],1,1,,,,
21-11,21,11,percent,0,0,[],[],1,1,,,,
22-1,22,1,percent,0,0,[],[],1,1,,,,
22-2,22,2,percent,1,0,[2],[2],1,1,1.0,,,
22-3,22,3,percent,1,0,[6],[6],1,1,1.0,,,
22-4,22,4,percent,1,0,[5],[1],0,0,0.0,,,
22-5,22,5,percent,0,0,[],[],1,1,,,,
22-6,22,6,percent,1,0,[1],[1],1,1,1.0,,,
22-7,22,7,percent,2,0,"[3, 6]","[6, 2]",0,0,,,,
22-8,22,8,percent,1,0,[2],[5],0,0,0.0,,,
22-9,22,9,percent,2,0,"[0, 4]","[0, 4]",1,1,,,,
22-10,22,10,percent,0,0,[],[],1,1,,,,
23-1,23,1,percent,0,0,[],[],1,1,,,,
23-2,23,2,percent,1,0,[3],[9],0,0,0.0,,,
23-3,23,3,percent,1,0,[8],[8],1,1,1.0,,,
23-4,23,4,percent,2,0,"[1, 10]","[1, 6]",0,0,,,,
23-5,23,5,percent,0,0,[],[],1,1,,,,
23-6,23,6,percent,1,0,[0],[0],1,1,1.0,,,
23-7,23,7,percent,1,0,[5],[5],1,1,1.0,,,
23-8,23,8,percent,1,0,[5],[4],0,0,0.0,,,
23-9,23,9,percent,1,0,[4],[4],1,1,1.0,,,
23-10,23,10,percent,1,0,[4],[4],1,1,1.0,,,
23-11,23,11,percent,0,0,[],[],1,1,,,,
24-1,24,1,percent,0,0,[],[],1,1,,,,
24-2,24,2,percent,1,0,[2],[2],1,1,1.0,,,
24-3,24,3,percent,1,0,[1],[1],1,1,1.0,,,
24-4,24,4,percent,1,0,[4],[4],1,1,1.0,,,
24-5,24,5,percent,1,0,[2],[2],1,1,1.0,,,
24-6,24,6,percent,1,0,[2],[0],0,0,0.0,,,
24-7,24,7,percent,2,0,"[2, 3]","[0, 3]",0,0,,,,
24-8,24,8,percent,1,0,[0],[0],1,1,1.0,,,
24-9,24,9,percent,1,0,[3],[3],1,1,1.0,,,
24-10,24,10,percent,0,0,[],[],1,1,,,,
25-1,25,1,percent,0,0,[],[],1,1,,,,
25-2,25,2,percent,2,0,"[0, 1]","[0, 7]",0,0,,,,
25-3,25,3,percent,0,0,[],[],1,1,,,,
25-4,25,4,percent,1,0,[0],[5],0,0,0.0,,,
25-5,25,5,percent,1,0,[6],[4],0,0,0.0,,,
25-6,25,6,percent,1,0,[4],[4],1,1,1.0,,,
25-7,25,7,percent,2,0,"[4, 6]","[4, 5]",0,0,,,,
25-8,25,8,percent,1,0,[4],[4],1,1,1.0,,,
25-9,25,9,percent,1,0,[4],[0],0,0,0.0,,,
25-10,25,10,percent,0,0,[],[],1,1,,,,
26-1,26,1,percent,2,0,"[3, 5]","[5, 3]",1,1,,,,
26-2,26,2,percent,2,0,"[1, 5]","[5, 1]",1,1,,,,
26-3,26,3,percent,3,0,"[1, 2, 4]","[2, 1, 4]",1,1,,,,
26-4,26,4,percent,0,0,[],[],1,1,,,,
27-1,27,1,percent,1,0,[11],[5],0,0,0.0,,,
27-2,27,2,percent,1,0,[2],[2],1,1,1.0,,,
27-3,27,3,percent,1,0,[9],[4],0,0,0.0,,,
27-4,27,4,percent,1,0,[9],[4],0,0,0.0,,,
27-5,27,5,percent,0,0,[],[],1,1,,,,
27-6,27,6,percent,1,0,[7],[5],0,0,0.0,,,
27-7,27,7,percent,2,0,"[2, 5]","[4, 2]",0,0,,,,
27-8,27,8,percent,2,0,"[3, 4]","[3, 1]",0,0,,,,
27-9,27,9,percent,0,0,[],[],1,1,,,,
28-1,28,1,rank,0,0,[],[],1,1,,,,
28-2,28,2,rank,2,0,"[8, 9]","[6, 8]",0,0,,,,
28-3,28,3,rank,0,0,[],[],1,1,,,,
28-4,28,4,rank,1,1,[6],[6],1,1,1.0,1.0,6.0,1.0
28-5,28,5,rank,0,0,[],[],1,1,,,,
28-6,28,6,rank,1,1,[7],[8],0,0,0.0,0.0,8.0,0.0
28-7,28,7,rank,1,1,[3],[7],0,0,0.0,0.0,7.0,0.0
28-8,28,8,rank,1,1,[3],[6],0,0,0.0,0.0,6.0,0.0
28-9,28,9,rank,1,1,[5],[5],1,1,1.0,1.0,5.0,1.0
28-10,28,10,rank,1,1,[2],[2],1,1,1.0,1.0,2.0,1.0
28-11,28,11,rank,0,0,[],[],1,1,,,,
29-1,29,1,rank,0,0,[],[],1,1,,,,
29-2,29,2,rank,1,1,[3],[3],1,1,1.0,1.0,3.0,1.0
29-3,29,3,rank,1,1,[2],[2],1,1,1.0,1.0,2.0,1.0
29-4,29,4,rank,1,1,[1],[1],1,1,1.0,1.0,4.0,0.0
29-5,29,5,rank,1,1,[3],[3],1,1,1.0,1.0,3.0,1.0
29-6,29,6,rank,1,1,[10],[9],0,0,0.0,1.0,9.0,0.0
29-7,29,7,rank,2,0,"[2, 6]","[6, 5]",0,0,,,,
29-8,29,8,rank,1,1,[1],[5],0,0,0.0,1.0,5.0,0.0
29-9,29,9,rank,1,1,[0],[4],0,0,0.0,1.0,4.0,0.0
29-10,29,10,rank,2,0,"[0, 5]","[3, 0]",0,0,,,,
29-11,29,11,rank,0,0,[],[],1,1,,,,
30-1,30,1,rank,0,0,[],[],1,1,,,,
30-2,30,2,rank,1,1,[8],[8],1,1,1.0,1.0,8.0,1.0
30-3,30,3,rank,1,1,[2],[3],0,0,0.0,0.0,3.0,0.0
30-4,30,4,rank,2,0,"[1, 7]","[1, 7]",1,1,,,,
30-5,30,5,rank,1,1,[6],[2],0,0,0.0,0.0,2.0,0.0
30-6,30,6,rank,1,1,[5],[5],1,1,1.0,1.0,5.0,1.0
30-7,30,7,rank,1,1,[6],[6],1,1,1.0,1.0,6.0,1.0
30-8,30,8,rank,2,0,"[3, 6]","[3, 6]",1,1,,,,
30-9,30,9,rank,2,0,"[4, 5]","[4, 1]",0,0,,,,
30-10,30,10,rank,0,0,[],[],1,1,,,,
31-1,31,1,rank,1,1,[5],[5],1,1,1.0,1.0,14.0,0.0
31-2,31,2,rank,1,1,[11],[1],0,0,0.0,1.0,1.0,0.0
31-3,31,3,rank,1,1,[1],[1],1,1,1.0,1.0,12.0,0.0
31-4,31,4,rank,1,1,[7],[7],1,1,1.0,1.0,7.0,1.0
31-5,31,5,rank,2,0,"[6, 7]","[10, 1]",0,0,,,,
31-6,31,6,rank,1,1,[4],[8],0,0,0.0,1.0,8.0,0.0
31-7,31,7,rank,1,1,[4],[7],0,0,0.0,1.0,7.0,0.0
31-8,31,8,rank,2,0,"[3, 6]","[6, 3]",1,1,,,,
31-9,31,9,rank,2,0,"[1, 4]","[4, 1]",1,1,,,,
31-10,31,10,rank,0,0,[],[],1,1,,,,
32-1,32,1,rank,1,1,[9],[9],1,1,1.0,1.0,9.0,1.0
32-2,32,2,rank,1,1,[6],[9],0,0,0.0,0.0,9.0,0.0
32-3,32,3,rank,1,1,[10],[10],1,1,1.0,1.0,10.0,1.0
32-4,32,4,rank,1,1,[0],[3],0,0,0.0,0.0,3.0,0.0
32-5,32,5,rank,1,1,[8],[4],0,0,0.0,1.0,4.0,0.0
32-6,32,6,rank,1,1,[7],[4],0,0,0.0,0.0,4.0,0.0
32-7,32,7,rank,1,1,[6],[4],0,0,0.0,0.0,4.0,0.0
32-8,32,8,rank,1,1,[2],[4],0,0,0.0,0.0,4.0,0.0
32-9,32,9,rank,1,1,[3],[3],1,1,1.0,1.0,3.0,1.0
32-10,32,10,rank,0,0,[],[],1,1,,,,
32-11,32,11,rank,0,0,[],[],1,1,,,,
33-1,33,1,rank,0,0,[],[],1,1,,,,
33-2,33,2,rank,2,0,"[0, 12]","[5, 10]",0,0,,,,
33-3,33,3,rank,2,0,"[4, 9]","[9, 4]",1,1,,,,
33-4,33,4,rank,1,1,[0],[3],0,0,0.0,1.0,3.0,0.0
33-5,33,5,rank,1,1,[6],[6],1,1,1.0,1.0,6.0,1.0
33-6,33,6,rank,1,1,[4],[3],0,0,0.0,0.0,3.0,0.0
33-7,33,7,rank,1,1,[2],[2],1,1,1.0,1.0,2.0,1.0
33-8,33,8,rank,0,0,[],[],1,1,,,,
33-9,33,9,rank,0,0,[],[],1,1,,,,
34-1,34,1,rank,0,0,[],[],1,1,,,,
34-2,34,2,rank,2,0,"[2, 3]","[3, 2]",1,1,,,,
34-3,34,3,rank,1,1,[8],[8],1,1,1.0,1.0,8.0,1.0
34-4,34,4,rank,1,1,[5],[1],0,0,0.0,0.0,1.0,0.0
34-5,34,5,rank,0,0,[],[],1,1,,,,
34-6,34,6,rank,1,1,[8],[1],0,0,0.0,1.0,1.0,0.0
34-7,34,7,rank,1,1,[5],[1],0,0,0.0,0.0,1.0,0.0
34-8,34,8,rank,1,1,[2],[1],0,0,0.0,1.0,1.0,0.0
34-9,34,9,rank,1,1,[1],[1],1,1,1.0,1.0,1.0,1.0
34-10,34,10,rank,1,1,[5],[1],0,0,0.0,0.0,1.0,0.0
34-11,34,11,rank,0,0,[],[],1,1,,,,
