event_id,season,week,next_week,delta_week,terminal,n_active,elim_count,rule_mode,is_judges_save,active_ids,eliminated_ids,eliminated_indices,J_total_by_active,J_pct_by_active
3-5,3,5,6.0,1.0,False,7,2,percent,False,"[""S3:Emmitt Smith"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman"", ""S3:Sara Evans"", ""S3:Willa Ford""]","[""S3:Sara Evans"", ""S3:Willa Ford""]","[5, 6]","[27.0, 24.0, 25.0, 27.0, 27.0, 24.0, 27.0]","[0.14917127071823205, 0.13259668508287292, 0.13812154696132597, 0.14917127071823205, 0.14917127071823205, 0.13259668508287292, 0.14917127071823205]"
3-6,3,6,7.0,1.0,False,5,0,percent,False,"[""S3:Emmitt Smith"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman""]",[],[],"[25.0, 18.0, 24.0, 28.0, 23.0]","[0.211864406779661, 0.15254237288135594, 0.2033898305084746, 0.23728813559322035, 0.19491525423728814]"
3-7,3,7,8.0,1.0,False,5,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman""]","[""S3:Jerry Springer""]",[1],"[28.5, 23.0, 28.5, 28.0, 27.0]","[0.2111111111111111, 0.17037037037037037, 0.2111111111111111, 0.2074074074074074, 0.2]"
3-8,3,8,9.0,1.0,False,4,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman""]","[""S3:Monique Coleman""]",[3],"[27.0, 27.0, 28.5, 26.5]","[0.24770642201834864, 0.24770642201834864, 0.26146788990825687, 0.24311926605504589]"
3-9,3,9,10.0,1.0,False,3,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Joey Lawrence"", ""S3:Mario Lopez""]","[""S3:Joey Lawrence""]",[1],"[29.5, 29.5, 29.5]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3-10,3,10,,,True,2,0,percent,False,"[""S3:Emmitt Smith"", ""S3:Mario Lopez""]",[],[],"[29.666600000000003, 29.666600000000003]","[0.5, 0.5]"
4-1,4,1,2.0,1.0,False,11,0,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Clyde Drexler"", ""S4:Heather Mills"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali"", ""S4:Leeza Gibbons"", ""S4:Paulina Porizkova"", ""S4:Shandi Finnessey""]",[],[],"[21.0, 13.0, 16.0, 18.0, 21.0, 24.0, 17.0, 23.0, 15.0, 19.0, 19.0]","[0.10194174757281553, 0.06310679611650485, 0.07766990291262135, 0.08737864077669903, 0.10194174757281553, 0.11650485436893204, 0.0825242718446602, 0.11165048543689321, 0.07281553398058252, 0.09223300970873786, 0.09223300970873786]"
4-2,4,2,3.0,1.0,False,11,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Clyde Drexler"", ""S4:Heather Mills"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali"", ""S4:Leeza Gibbons"", ""S4:Paulina Porizkova"", ""S4:Shandi Finnessey""]","[""S4:Paulina Porizkova""]",[9],"[26.0, 21.0, 18.0, 24.0, 22.0, 24.0, 21.0, 27.0, 21.0, 21.0, 20.0]","[0.10612244897959183, 0.08571428571428572, 0.07346938775510205, 0.09795918367346938, 0.08979591836734693, 0.09795918367346938, 0.08571428571428572, 0.11020408163265306, 0.08571428571428572, 0.08571428571428572, 0.08163265306122448]"
4-3,4,3,4.0,1.0,False,10,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Clyde Drexler"", ""S4:Heather Mills"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali"", ""S4:Leeza Gibbons"", ""S4:Shandi Finnessey""]","[""S4:Shandi Finnessey""]",[9],"[23.0, 21.0, 16.0, 24.0, 24.0, 24.0, 20.0, 21.0, 24.0, 21.0]","[0.10550458715596331, 0.0963302752293578, 0.07339449541284404, 0.11009174311926606, 0.11009174311926606, 0.11009174311926606, 0.09174311926605505, 0.0963302752293578, 0.11009174311926606, 0.0963302752293578]"
4-4,4,4,5.0,1.0,False,9,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Clyde Drexler"", ""S4:Heather Mills"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali"", ""S4:Leeza Gibbons""]","[""S4:Leeza Gibbons""]",[8],"[26.0, 21.0, 15.0, 23.0, 24.0, 28.0, 16.0, 21.0, 16.0]","[0.1368421052631579, 0.11052631578947368, 0.07894736842105263, 0.12105263157894737, 0.12631578947368421, 0.14736842105263157, 0.08421052631578947, 0.11052631578947368, 0.08421052631578947]"
4-5,4,5,6.0,1.0,False,8,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Clyde Drexler"", ""S4:Heather Mills"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali""]","[""S4:Clyde Drexler""]",[2],"[30.0, 17.0, 13.0, 21.0, 24.0, 25.0, 18.0, 28.0]","[0.17045454545454544, 0.09659090909090909, 0.07386363636363637, 0.11931818181818182, 0.13636363636363635, 0.14204545454545456, 0.10227272727272728, 0.1590909090909091]"
4-6,4,6,7.0,1.0,False,7,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Heather Mills"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali""]","[""S4:Heather Mills""]",[2],"[28.0, 21.0, 23.0, 24.0, 27.0, 19.0, 28.0]","[0.16470588235294117, 0.12352941176470589, 0.13529411764705881, 0.1411764705882353, 0.1588235294117647, 0.11176470588235295, 0.16470588235294117]"
4-7,4,7,8.0,1.0,False,6,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:John Ratzenberger"", ""S4:Laila Ali""]","[""S4:John Ratzenberger""]",[4],"[27.0, 19.0, 27.0, 29.5, 22.5, 29.5]","[0.17475728155339806, 0.12297734627831715, 0.17475728155339806, 0.19093851132686085, 0.14563106796116504, 0.19093851132686085]"
4-8,4,8,9.0,1.0,False,5,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Billy Ray Cyrus"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:Laila Ali""]","[""S4:Billy Ray Cyrus""]",[1],"[29.0, 19.0, 23.5, 27.5, 26.5]","[0.23107569721115537, 0.15139442231075698, 0.18725099601593626, 0.21912350597609562, 0.21115537848605578]"
4-9,4,9,10.0,1.0,False,4,1,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Ian Ziering"", ""S4:Joey Fatone"", ""S4:Laila Ali""]","[""S4:Ian Ziering""]",[1],"[29.5, 29.0, 30.0, 30.0]","[0.2489451476793249, 0.24472573839662448, 0.25316455696202533, 0.25316455696202533]"
4-10,4,10,,,True,3,0,percent,False,"[""S4:Apolo Anton Ohno"", ""S4:Joey Fatone"", ""S4:Laila Ali""]",[],[],"[29.3332, 28.6665, 28.3332]","[0.33976850076853665, 0.3320460681848982, 0.32818543104656506]"
5-1,5,1,2.0,1.0,False,12,1,percent,False,"[""S5:Albert Reed"", ""S5:Cameron Mathison"", ""S5:Floyd Mayweather Jr. "", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Josie Maran"", ""S5:Marie Osmond"", ""S5:Mark Cuban"", ""S5:Mel B"", ""S5:Sabrina Bryan"", ""S5:Wayne Newton""]","[""S5:Josie Maran""]",[6],"[21.0, 21.0, 18.0, 25.0, 24.0, 21.0, 16.0, 21.0, 21.0, 24.0, 26.0, 19.0]","[0.08171206225680934, 0.08171206225680934, 0.07003891050583658, 0.09727626459143969, 0.0933852140077821, 0.08171206225680934, 0.0622568093385214, 0.08171206225680934, 0.08171206225680934, 0.0933852140077821, 0.10116731517509728, 0.07392996108949416]"
5-2,5,2,3.0,1.0,False,11,1,percent,False,"[""S5:Albert Reed"", ""S5:Cameron Mathison"", ""S5:Floyd Mayweather Jr. "", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mark Cuban"", ""S5:Mel B"", ""S5:Sabrina Bryan"", ""S5:Wayne Newton""]","[""S5:Albert Reed""]",[0],"[21.0, 21.0, 21.0, 27.0, 21.0, 21.0, 24.0, 18.0, 23.0, 26.0, 15.0]","[0.08823529411764706, 0.08823529411764706, 0.08823529411764706, 0.1134453781512605, 0.08823529411764706, 0.08823529411764706, 0.10084033613445378, 0.07563025210084033, 0.09663865546218488, 0.1092436974789916, 0.06302521008403361]"
5-3,5,3,4.0,1.0,False,10,1,percent,False,"[""S5:Cameron Mathison"", ""S5:Floyd Mayweather Jr. "", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mark Cuban"", ""S5:Mel B"", ""S5:Sabrina Bryan"", ""S5:Wayne Newton""]","[""S5:Wayne Newton""]",[9],"[23.0, 21.0, 24.0, 27.0, 26.0, 26.0, 20.0, 27.0, 27.0, 18.0]","[0.09623430962343096, 0.08786610878661087, 0.100418410041841, 0.11297071129707113, 0.1087866108786611, 0.1087866108786611, 0.08368200836820083, 0.11297071129707113, 0.11297071129707113, 0.07531380753138076]"
5-4,5,4,5.0,1.0,False,9,1,percent,False,"[""S5:Cameron Mathison"", ""S5:Floyd Mayweather Jr. "", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mark Cuban"", ""S5:Mel B"", ""S5:Sabrina Bryan""]","[""S5:Floyd Mayweather Jr. ""]",[1],"[27.0, 23.0, 27.0, 26.0, 27.0, 26.0, 22.0, 26.0, 30.0]","[0.11538461538461539, 0.09829059829059829, 0.11538461538461539, 0.1111111111111111, 0.11538461538461539, 0.1111111111111111, 0.09401709401709402, 0.1111111111111111, 0.1282051282051282]"
5-5,5,5,6.0,1.0,False,8,1,percent,False,"[""S5:Cameron Mathison"", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mark Cuban"", ""S5:Mel B"", ""S5:Sabrina Bryan""]","[""S5:Mark Cuban""]",[5],"[26.0, 23.0, 26.0, 25.0, 21.0, 21.0, 29.0, 28.0]","[0.1306532663316583, 0.11557788944723618, 0.1306532663316583, 0.12562814070351758, 0.10552763819095477, 0.10552763819095477, 0.1457286432160804, 0.1407035175879397]"
5-6,5,6,7.0,1.0,False,7,1,percent,False,"[""S5:Cameron Mathison"", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mel B"", ""S5:Sabrina Bryan""]","[""S5:Sabrina Bryan""]",[6],"[25.0, 28.0, 22.0, 27.0, 23.0, 30.0, 25.0]","[0.1388888888888889, 0.15555555555555556, 0.12222222222222222, 0.15, 0.12777777777777777, 0.16666666666666666, 0.1388888888888889]"
5-7,5,7,8.0,1.0,False,6,1,percent,False,"[""S5:Cameron Mathison"", ""S5:Helio Castroneves"", ""S5:Jane Seymour"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mel B""]","[""S5:Jane Seymour""]",[2],"[25.5, 26.0, 25.0, 26.5, 26.0, 27.0]","[0.16346153846153846, 0.16666666666666666, 0.16025641025641027, 0.16987179487179488, 0.16666666666666666, 0.17307692307692307]"
5-8,5,8,9.0,1.0,False,5,1,percent,False,"[""S5:Cameron Mathison"", ""S5:Helio Castroneves"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mel B""]","[""S5:Cameron Mathison""]",[0],"[25.5, 28.5, 25.0, 24.5, 28.0]","[0.19391634980988592, 0.21673003802281368, 0.19011406844106463, 0.18631178707224336, 0.21292775665399238]"
5-9,5,9,10.0,1.0,False,4,1,percent,False,"[""S5:Helio Castroneves"", ""S5:Jennie Garth"", ""S5:Marie Osmond"", ""S5:Mel B""]","[""S5:Jennie Garth""]",[1],"[30.0, 29.0, 28.0, 30.0]","[0.2564102564102564, 0.24786324786324787, 0.23931623931623933, 0.2564102564102564]"
5-10,5,10,,,True,3,0,percent,False,"[""S5:Helio Castroneves"", ""S5:Marie Osmond"", ""S5:Mel B""]",[],[],"[27.9999, 23.0, 28.3332]","[0.35294095402801606, 0.2899168190830813, 0.3571422268889026]"
6-1,6,1,2.0,1.0,False,12,0,percent,False,"[""S6:Adam Carolla"", ""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Marlee Matlin"", ""S6:Monica Seles"", ""S6:Penn Jillette"", ""S6:Priscilla Presley"", ""S6:Shannon Elizabeth"", ""S6:Steve Guttenberg""]",[],[],"[15.0, 21.0, 22.0, 27.0, 24.0, 18.0, 22.0, 15.0, 16.0, 24.0, 21.0, 18.0]","[0.06172839506172839, 0.08641975308641975, 0.09053497942386832, 0.1111111111111111, 0.09876543209876543, 0.07407407407407407, 0.09053497942386832, 0.06172839506172839, 0.06584362139917696, 0.09876543209876543, 0.08641975308641975, 0.07407407407407407]"
6-2,6,2,3.0,1.0,False,12,2,percent,False,"[""S6:Adam Carolla"", ""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Marlee Matlin"", ""S6:Monica Seles"", ""S6:Penn Jillette"", ""S6:Priscilla Presley"", ""S6:Shannon Elizabeth"", ""S6:Steve Guttenberg""]","[""S6:Monica Seles"", ""S6:Penn Jillette""]","[7, 8]","[19.0, 20.0, 27.0, 27.0, 26.0, 21.0, 24.0, 15.0, 17.0, 21.0, 24.0, 16.0]","[0.07392996108949416, 0.07782101167315175, 0.10505836575875487, 0.10505836575875487, 0.10116731517509728, 0.08171206225680934, 0.0933852140077821, 0.058365758754863814, 0.06614785992217899, 0.08171206225680934, 0.0933852140077821, 0.0622568093385214]"
6-3,6,3,4.0,1.0,False,10,1,percent,False,"[""S6:Adam Carolla"", ""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Marlee Matlin"", ""S6:Priscilla Presley"", ""S6:Shannon Elizabeth"", ""S6:Steve Guttenberg""]","[""S6:Steve Guttenberg""]",[9],"[21.0, 25.0, 23.0, 27.0, 21.0, 19.0, 21.0, 26.0, 24.0, 21.0]","[0.09210526315789473, 0.10964912280701754, 0.10087719298245613, 0.11842105263157894, 0.09210526315789473, 0.08333333333333333, 0.09210526315789473, 0.11403508771929824, 0.10526315789473684, 0.09210526315789473]"
6-4,6,4,5.0,1.0,False,9,1,percent,False,"[""S6:Adam Carolla"", ""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Marlee Matlin"", ""S6:Priscilla Presley"", ""S6:Shannon Elizabeth""]","[""S6:Adam Carolla""]",[0],"[19.0, 26.0, 29.0, 29.0, 24.0, 24.0, 24.0, 22.0, 28.0]","[0.08444444444444445, 0.11555555555555555, 0.1288888888888889, 0.1288888888888889, 0.10666666666666667, 0.10666666666666667, 0.10666666666666667, 0.09777777777777778, 0.12444444444444444]"
6-5,6,5,6.0,1.0,False,8,1,percent,False,"[""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Marlee Matlin"", ""S6:Priscilla Presley"", ""S6:Shannon Elizabeth""]","[""S6:Priscilla Presley""]",[6],"[23.0, 27.0, 29.0, 27.0, 24.0, 22.0, 21.0, 23.0]","[0.11734693877551021, 0.1377551020408163, 0.14795918367346939, 0.1377551020408163, 0.12244897959183673, 0.11224489795918367, 0.10714285714285714, 0.11734693877551021]"
6-6,6,6,7.0,1.0,False,7,1,percent,False,"[""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Marlee Matlin"", ""S6:Shannon Elizabeth""]","[""S6:Marlee Matlin""]",[5],"[27.0, 24.0, 30.0, 28.0, 26.0, 21.0, 24.0]","[0.15, 0.13333333333333333, 0.16666666666666666, 0.15555555555555556, 0.14444444444444443, 0.11666666666666667, 0.13333333333333333]"
6-7,6,7,8.0,1.0,False,6,1,percent,False,"[""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur"", ""S6:Shannon Elizabeth""]","[""S6:Shannon Elizabeth""]",[5],"[23.0, 27.5, 27.0, 25.5, 26.0, 25.5]","[0.1488673139158576, 0.1779935275080906, 0.17475728155339806, 0.1650485436893204, 0.16828478964401294, 0.1650485436893204]"
6-8,6,8,9.0,1.0,False,5,1,percent,False,"[""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Mario"", ""S6:Marissa Jaret Winokur""]","[""S6:Mario""]",[3],"[28.5, 26.0, 27.5, 26.5, 25.0]","[0.21348314606741572, 0.1947565543071161, 0.20599250936329588, 0.19850187265917604, 0.18726591760299627]"
6-9,6,9,10.0,1.0,False,4,1,percent,False,"[""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi"", ""S6:Marissa Jaret Winokur""]","[""S6:Marissa Jaret Winokur""]",[3],"[28.0, 27.5, 28.5, 26.0]","[0.2545454545454545, 0.25, 0.2590909090909091, 0.23636363636363636]"
6-10,6,10,,,True,3,0,percent,False,"[""S6:Cristian de la Fuente"", ""S6:Jason Taylor"", ""S6:Kristi Yamaguchi""]",[],[],"[26.0, 28.5, 30.0]","[0.3076923076923077, 0.33727810650887574, 0.35502958579881655]"
